symbol_key,symbol,company_name,sector,industry
94,IMAX,Imax Corporation,Communication Services,Entertainment
95,IMO,Imperial Oil Limited,Energy,Oil & Gas Integrated
96,LSPD,Lightspeed Commerce Inc. Subord,Technology,Software - Application
97,LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail
98,MAG,MAG Silver Corporation,Basic Materials,Silver
99,MERC,Mercer International Inc.,Basic Materials,Paper & Paper Products
100,MFC,Manulife Financial Corporation,Financial Services,Insurance - Life
101,NG,Novagold Resources Inc.,Basic Materials,Gold
102,NGD,New Gold Inc.,Basic Materials,Gold
103,NTR,Nutrien Ltd.,Basic Materials,Agricultural Inputs
104,NXE,Nexgen Energy Ltd.,Energy,Uranium
105,OR,Osisko Gold Royalties Ltd,Basic Materials,Gold
106,OTEX,Open Text Corporation,Technology,Software - Application
107,PAAS,Pan American Silver Corp.,Basic Materials,Gold
108,QBTS,D-Wave Quantum Inc.,Technology,Computer Hardware
109,QSR,Restaurant Brands International,Consumer Cyclical,Restaurants
110,RY,Royal Bank Of Canada,Financial Services,Banks - Diversified
111,SA,"Seabridge Gold, Inc.",Basic Materials,Gold
112,SHOP,Shopify Inc.,Technology,Software - Application
113,SLF,Sun Life Financial Inc.,Financial Services,Insurance - Diversified
114,SNCAF,AtkinsRealis Group Inc.,Industrials,Engineering & Construction
115,SOBO,South Bow Corporation,Energy,Oil & Gas Midstream
116,STN,Stantec Inc,Industrials,Engineering & Construction
117,SU,Suncor Energy  Inc.,Energy,Oil & Gas Integrated
118,TCX,Tucows Inc.,Technology,Software - Infrastructure
119,TD,Toronto Dominion Bank (The),Financial Services,Banks - Diversified
120,TFII,TFI International Inc.,Industrials,Trucking
121,TLRY,"Tilray Brands, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic
122,TRI,Thomson Reuters Corp,Industrials,Specialty Business Services
123,TRP,TC Energy Corporation,Energy,Oil & Gas Midstream
124,VET,Vermilion Energy Inc.,Energy,Oil & Gas E&P
125,VRN,Veren Inc.,Energy,Oil & Gas E&P
126,WCN,"Waste Connections, Inc.",Industrials,Waste Management
127,WFG,West Fraser Timber Co. Ltd,Basic Materials,Lumber & Wood Production
128,WPM,Wheaton Precious Metals Corp,Basic Materials,Gold
129,WSPOF,WSP Global Inc,Industrials,Engineering & Construction
130,XENE,Xenon Pharmaceuticals Inc.,Healthcare,Biotechnology
131,CRDO,Credo Technology Group Holding ,Technology,Semiconductors
132,CWCO,Consolidated Water Co. Ltd.,Utilities,Utilities - Regulated Water
133,FDP,"Fresh Del Monte Produce, Inc.",Consumer Defensive,Farm Products
134,FN,Fabrinet,Technology,Electronic Components
135,GLRE,"Greenlight Reinsurance, Ltd.",Financial Services,Insurance - Reinsurance
136,PAX,Patria Investments Limited,Financial Services,Asset Management
137,PENG,"Penguin Solutions, Inc.",Technology,Information Technology Services
138,STNE,StoneCo Ltd.,Technology,Software - Infrastructure
139,VTEX,VTEX,Technology,Software - Application
140,XP,XP Inc.,Financial Services,Capital Markets
141,BSAC,Banco Santander - Chile,Financial Services,Banks - Regional
142,ENIC,Enel Chile S.A.,Utilities,Utilities - Regulated Electric
143,SQM,Sociedad Quimica y Minera S.A.,Basic Materials,Specialty Chemicals
144,ATAT,Atour Lifestyle Holdings Limite,Consumer Cyclical,Lodging
145,ATHM,Autohome Inc.,Communication Services,Internet Content & Information
146,BEKE,KE Holdings Inc,Real Estate,Real Estate Services
147,BZ,KANZHUN LIMITED - American Depo,Communication Services,Internet Content & Information
148,DQ,DAQO New Energy Corp.,Technology,Semiconductor Equipment & Materials
149,EH,EHang Holdings Limited,Industrials,Aerospace & Defense
